character_code,character_name,skill_no,skill_name,level,values,description,icon
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,1,"[""121.88""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 121.88% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,2,"[""135.42""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 135.42% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,3,"[""148.96""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 148.96% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,4,"[""162.5""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 162.5% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,5,"[""176.04""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 176.04% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,6,"[""189.58""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 189.58% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,7,"[""203.12""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 203.12% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,8,"[""216.66""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 216.66% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,9,"[""230.2""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 230.2% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,1,오버 오버 드라이브,10,"[""243.75""]","■ 풀 버스트 타임 시작 시 자신에게
[사용 무기 변경 : 오버 오버 드라이브] :
차지 시간 : 1.5초로 고정
대미지 : 최종 공격력 243.75% 대미지
펠릿 개수 : 15개
풀 차지 대미지 : 300%
최대 장탄 수 : 6발
■ 오버 오버 드라이브 상태 종료 시 자신에게
[탄환 100% 제거]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",1,"[""5.77"", ""3.12""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 5.77% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 3.12% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",2,"[""6.3"", ""3.47""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 6.3% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 3.47% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",3,"[""6.83"", ""3.82""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 6.83% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 3.82% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",4,"[""7.36"", ""4.17""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 7.36% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 4.17% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",5,"[""7.89"", ""4.52""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 7.89% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 4.52% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",6,"[""8.42"", ""4.87""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 8.42% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 4.87% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",7,"[""8.95"", ""5.22""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 8.95% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 5.22% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",8,"[""9.48"", ""5.57""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 9.48% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 5.57% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",9,"[""10.01"", ""5.92""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 10.01% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 5.92% 만큼 공격력 ▲] [지속]",
,드레이크 : 그레이트 빌런,2,"빌런, 지각하다",10,"[""10.5"", ""6.23""]","■ 풀 버스트 타임 종료 시 아군 전체에게
[시전자 기준 최대 체력만 10.5% ▲] [4 중첩] [지속]
■ 전투 시작 시 자신에게
[지각 : 시전자의 최종 최대 체력의 6.23% 만큼 공격력 ▲] [지속]",
