code,name,slug,rarity,burst,burst_stage,cooldown,element,class,corporation,weapon,status,note,image,face_image,full_image,parsed
3001,라피,rapi,SR,3,3,40.0,작열,화력형,엘리시온,AR,,,rapi.webp,face/rapi.webp,rapi.webp,True
3002,네온,neon,SR,1,1,20.0,작열,지원형,엘리시온,SG,,,neon.webp,face/neon.webp,neon.webp,True
3005,아니스,anis,SR,2,2,20.0,철갑,방어형,테트라,RL,,,anis.webp,face/anis.webp,anis.webp,True
5071,네온 : 블루 오션,neon-blue-ocean,SSR,3,3,40.0,수냉,화력형,엘리시온,MG,,,neon-blue-ocean.webp,face/neon-blue-ocean.webp,neon-blue-ocean.webp,True
5097,아니스 : 스파클링 서머,anis-sparkling-summer,SSR,3,3,40.0,전격,지원형,테트라,SG,,,anis-sparkling-summer.webp,face/anis-sparkling-summer.webp,anis-sparkling-summer.webp,True
5129,라피 : 레드 후드,rapi-red-hood,SSR,3,3,40.0,작열,화력형,엘리시온,MG,,,rapi-red-hood.webp,face/rapi-red-hood.webp,rapi-red-hood.webp,True
5169,아니스 : 스타,anis-star,SSR,1,1,20.0,전격,방어형,테트라,RL,,,anis-star.webp,face/anis-star.webp,anis-star.webp,True
5170,네온 : 비전 아이,neon-vision-eye,SSR,3,3,40.0,전격,화력형,미실리스,RL,,,neon-vision-eye.webp,face/neon-vision-eye.webp,neon-vision-eye.webp,True
3003,델타,delta,SR,2,2,40.0,풍압,방어형,엘리시온,SR,unsupported,디코이·도발 — 딜 수치를 믿지 말 것,delta.webp,face/delta.webp,delta.webp,True
5015,시그널,signal,SSR,2,2,20.0,작열,화력형,엘리시온,SMG,,,signal.webp,face/signal.webp,signal.webp,True
5154,델타 : 닌자 시프,delta-ninja-thief,SSR,2,2,40.0,수냉,방어형,엘리시온,MG,,,delta-ninja-thief.webp,face/delta-ninja-thief.webp,delta-ninja-thief.webp,True
5016,폴리,poli,SSR,2,2,40.0,수냉,방어형,엘리시온,SG,,,poli.webp,face/poli.webp,poli.webp,True
5017,미란다,miranda,SSR,1,1,20.0,작열,지원형,엘리시온,SMG,,,miranda.webp,face/miranda.webp,miranda.webp,True
5082,키리,quiry,SSR,3,3,40.0,풍압,지원형,엘리시온,RL,,,quiry.webp,face/quiry.webp,quiry.webp,True
1007,D,d,SSR,3,3,40.0,풍압,화력형,엘리시온,SMG,,,d.webp,face/d.webp,d.webp,True
5141,K,k,SSR,3,3,40.0,전격,화력형,엘리시온,SMG,,,k.webp,face/k.webp,k.webp,True
5110,D : 킬러 와이프,d-killer-wife,SSR,1,1,20.0,작열,지원형,엘리시온,SR,,,d-killer-wife.webp,face/d-killer-wife.webp,d-killer-wife.webp,True
3007,벨로타,belorta,SR,2,2,20.0,전격,화력형,테트라,RL,,,belorta.webp,face/belorta.webp,belorta.webp,True
3008,미카,mica,SR,1,1,20.0,풍압,지원형,테트라,RL,,,mica.webp,face/mica.webp,mica.webp,True
5104,미카 : 스노우 버디,mica-snow-buddy,SSR,1,1,20.0,철갑,지원형,테트라,SMG,,,mica-snow-buddy.webp,face/mica-snow-buddy.webp,mica-snow-buddy.webp,True
5018,브리드,brid,SSR,3,3,40.0,수냉,화력형,엘리시온,AR,,,brid.webp,face/brid.webp,brid.webp,True
5019,솔린,soline,SSR,3,3,40.0,철갑,화력형,엘리시온,SMG,,,soline.webp,face/soline.webp,soline.webp,True
5020,디젤,diesel,SSR,2,2,20.0,풍압,방어형,엘리시온,MG,,,diesel.webp,face/diesel.webp,diesel.webp,True
5160,브리드 : 사일런트 트랙,brid-silent-track,SSR,2,2,20.0,작열,지원형,엘리시온,SG,,,brid-silent-track.webp,face/brid-silent-track.webp,brid-silent-track.webp,True
5158,솔린 : 프로스트 티켓,soline-frost-ticket,SSR,1,1,40.0,수냉,지원형,엘리시온,SG,,,soline-frost-ticket.webp,face/soline-frost-ticket.webp,soline-frost-ticket.webp,True
5159,디젤 : 윈터 스위츠,diesel-winter-sweets,SSR,3,3,40.0,작열,화력형,엘리시온,RL,,,diesel-winter-sweets.webp,face/diesel-winter-sweets.webp,diesel-winter-sweets.webp,True
5021,센티,centi,SSR,2,2,20.0,철갑,방어형,미실리스,RL,,,centi.webp,face/centi.webp,centi.webp,True
5011,리타,liter,SSR,1,1,20.0,철갑,지원형,미실리스,SMG,,,liter.webp,face/liter.webp,liter.webp,True
5005,엠마,emma,SSR,1,1,40.0,작열,지원형,엘리시온,MG,unsupported,순수 힐러 — 딜 수치를 믿지 말 것,emma.webp,face/emma.webp,emma.webp,True
5022,베스티,vesti,SSR,3,3,40.0,수냉,화력형,엘리시온,RL,,,vesti.webp,face/vesti.webp,vesti.webp,True
5023,은화,eunhwa,SSR,2,2,20.0,작열,화력형,엘리시온,SR,,,eunhwa.webp,face/eunhwa.webp,eunhwa.webp,True
5147,엠마 : 택티컬 업,emma-tactical-upgrade,SSR,1,1,20.0,작열,지원형,엘리시온,MG,,,emma-tactical-upgrade.webp,face/emma-tactical-upgrade.webp,emma-tactical-upgrade.webp,True
5148,베스티 : 택티컬 업,vesti-tactical-upgrade,SSR,3,3,40.0,작열,화력형,엘리시온,RL,,,vesti-tactical-upgrade.webp,face/vesti-tactical-upgrade.webp,vesti-tactical-upgrade.webp,True
5149,은화 : 택티컬 업,eunhwa-tactical-upgrade,SSR,2,2,20.0,작열,화력형,엘리시온,SR,,,eunhwa-tactical-upgrade.webp,face/eunhwa-tactical-upgrade.webp,eunhwa-tactical-upgrade.webp,True
1010,라플라스,laplace,SSR,3,3,40.0,철갑,화력형,미실리스,RL,,,laplace.webp,face/laplace.webp,laplace.webp,True
5024,드레이크,drake,SSR,3,3,40.0,작열,화력형,미실리스,SG,verifying,"수치는 참조 시뮬과 일치. 미확인: 버스트 최대 장탄▲ 즉시 지급 여부, 파츠 보스에서 썬더볼트 다중 타격, 버스트 대미지의 풀버스트 보정",drake.webp,face/drake.webp,drake.webp,True
5001,맥스웰,maxwell,SSR,3,3,40.0,철갑,화력형,미실리스,SR,,,maxwell.webp,face/maxwell.webp,maxwell.webp,True
5177,라플라스 : 얼티밋 히어로,laplace-ultimate-hero,SSR,3,3,40.0,풍압,화력형,미실리스,RL,,,laplace-ultimate-hero.webp,face/laplace-ultimate-hero.webp,laplace-ultimate-hero.webp,True
5178,맥스웰 : 오디너리 미케닉,maxwell-ordinary-mechanic,SSR,2,2,20.0,풍압,지원형,미실리스,SR,,,maxwell-ordinary-mechanic.webp,face/maxwell-ordinary-mechanic.webp,maxwell-ordinary-mechanic.webp,True
5025,크로우,crow,SSR,3,3,40.0,작열,방어형,미실리스,SMG,,,crow.webp,face/crow.webp,crow.webp,True
1020,자칼,jackal,SSR,1,1,20.0,철갑,방어형,미실리스,RL,unsupported,핵심(단일 대상 버스트 대미지 ▲) 미지원 — 딜 수치를 믿지 말 것,jackal.webp,face/jackal.webp,jackal.webp,True
1022,바이퍼,viper,SSR,2,2,20.0,수냉,화력형,테트라,SG,,,viper.webp,face/viper.webp,viper.webp,True
5166,E.H.,e-h,SSR,3,3,40.0,풍압,화력형,엘리시온,SMG,,,e-h.webp,face/e-h.webp,e-h.webp,True
3009,N102,n102,SR,1,1,20.0,수냉,지원형,미실리스,RL,,,n102.webp,face/n102.webp,n102.webp,True
5085,앤 : 미라클 페어리,anne-miracle-fairy,SSR,2,2,60.0,풍압,지원형,미실리스,RL,,,anne-miracle-fairy.webp,face/anne-miracle-fairy.webp,anne-miracle-fairy.webp,True
5026,메어리,mary,SSR,1,1,40.0,수냉,지원형,테트라,SG,unsupported,순수 힐러 — 딜 수치를 믿지 말 것,mary.webp,face/mary.webp,mary.webp,True
5027,페퍼,pepper,SSR,1,1,20.0,풍압,지원형,미실리스,SG,,,pepper.webp,face/pepper.webp,pepper.webp,True
5064,메어리 : 베이 갓데스,mary-bay-goddess,SSR,1,1,20.0,수냉,지원형,테트라,SR,,,mary-bay-goddess.webp,face/mary-bay-goddess.webp,mary-bay-goddess.webp,True
5002,슈가,sugar,SSR,3,3,40.0,철갑,화력형,테트라,SG,,,sugar.webp,face/sugar.webp,sugar.webp,True
5028,밀크,milk,SSR,1,1,40.0,수냉,화력형,테트라,SR,,,milk.webp,face/milk.webp,milk.webp,True
5010,프림,frima,SSR,1,1,20.0,철갑,지원형,테트라,SR,,,frima.webp,face/frima.webp,frima.webp,True
5150,밀크 : 블루밍 바니,milk-blooming-bunny,SSR,3,3,40.0,철갑,화력형,테트라,SR,,,milk-blooming-bunny.webp,face/milk-blooming-bunny.webp,milk-blooming-bunny.webp,True
5014,율리아,julia,SSR,3,3,40.0,철갑,화력형,미실리스,AR,,,julia.webp,face/julia.webp,julia.webp,True
5006,유니,yuni,SSR,2,2,20.0,작열,방어형,미실리스,RL,,,yuni.webp,face/yuni.webp,yuni.webp,True
3006,미하라,mihara,SR,3,3,40.0,수냉,화력형,미실리스,AR,,,mihara.webp,face/mihara.webp,mihara.webp,True
5138,미하라 : 본딩 체인,mihara-bonding-chain,SSR,3,3,40.0,작열,화력형,미실리스,MG,,,mihara-bonding-chain.webp,face/mihara-bonding-chain.webp,mihara-bonding-chain.webp,True
5007,프리바티,privaty,SSR,3,3,40.0,수냉,화력형,엘리시온,AR,,,privaty.webp,face/privaty.webp,privaty.webp,True
5029,율하,yulha,SSR,3,3,40.0,작열,화력형,테트라,SR,,,yulha.webp,face/yulha.webp,yulha.webp,True
5030,애드미,admi,SSR,2,2,20.0,풍압,지원형,미실리스,SR,,,admi.webp,face/admi.webp,admi.webp,True
5031,길로틴,guillotine,SSR,3,3,40.0,전격,화력형,엘리시온,MG,,,guillotine.webp,face/guillotine.webp,guillotine.webp,True
5032,메이든,maiden,SSR,3,3,40.0,전격,화력형,엘리시온,SG,,,maiden.webp,face/maiden.webp,maiden.webp,True
5128,길로틴 : 윈터 슬레이어,guillotine-winter-slayer,SSR,3,3,40.0,수냉,화력형,엘리시온,AR,,,guillotine-winter-slayer.webp,face/guillotine-winter-slayer.webp,guillotine-winter-slayer.webp,True
5127,메이든 : 아이스 로즈,maiden-ice-rose,SSR,3,3,40.0,전격,방어형,엘리시온,RL,,,maiden-ice-rose.webp,face/maiden-ice-rose.webp,maiden-ice-rose.webp,True
5033,루드밀라,ludmilla,SSR,1,1,20.0,수냉,방어형,테트라,SMG,,,ludmilla.webp,face/ludmilla.webp,ludmilla.webp,True
5004,앨리스,alice,SSR,3,3,40.0,작열,화력형,테트라,SR,,,alice.webp,face/alice.webp,alice.webp,True
5081,토브,tove,SSR,1,1,20.0,수냉,지원형,미실리스,AR,,,tove.webp,face/tove.webp,tove.webp,True
3011,네베,neve,SR,3,3,40.0,수냉,화력형,테트라,SG,,,neve.webp,face/neve.webp,neve.webp,True
5103,루드밀라 : 윈터 오너,ludmilla-winter-owner,SSR,3,3,40.0,수냉,화력형,테트라,MG,,,ludmilla-winter-owner.webp,face/ludmilla-winter-owner.webp,ludmilla-winter-owner.webp,True
5114,앨리스 : 원더랜드 바니,alice-wonderland-bunny,SSR,1,1,40.0,수냉,지원형,테트라,SMG,,,alice-wonderland-bunny.webp,face/alice-wonderland-bunny.webp,alice-wonderland-bunny.webp,True
5034,루피,rupee,SSR,2,2,20.0,철갑,화력형,테트라,AR,,,rupee.webp,face/rupee.webp,rupee.webp,True
5035,얀,yan,SSR,1,1,20.0,작열,지원형,테트라,RL,,,yan.webp,face/yan.webp,yan.webp,True
5036,도라,dolla,SSR,2,2,20.0,풍압,지원형,테트라,SR,,,dolla.webp,face/dolla.webp,dolla.webp,True
5087,루피 : 윈터 쇼퍼,rupee-winter-shopper,SSR,1,1,20.0,전격,방어형,테트라,AR,,,rupee-winter-shopper.webp,face/rupee-winter-shopper.webp,rupee-winter-shopper.webp,True
5003,엑시아,exia,SSR,1,1,20.0,전격,지원형,테트라,SR,,,exia.webp,face/exia.webp,exia.webp,True
5037,노벨,novel,SSR,2,2,20.0,철갑,방어형,테트라,SMG,,,novel.webp,face/novel.webp,novel.webp,True
5012,스노우 화이트,snow-white,SSR,3,3,40.0,철갑,화력형,필그림,AR,,,snow-white.webp,face/snow-white.webp,snow-white.webp,True
5040,라푼젤,rapunzel,SSR,1,1,60.0,철갑,지원형,필그림,RL,unsupported,순수 힐러(부활 미지원) — 딜 수치를 믿지 말 것,rapunzel.webp,face/rapunzel.webp,rapunzel.webp,True
5041,홍련,scarlet,SSR,3,3,40.0,전격,화력형,필그림,AR,,,scarlet.webp,face/scarlet.webp,scarlet.webp,True
5155,나유타,nayuta,SSR,2,2,20.0,풍압,지원형,필그림,SMG,,,nayuta.webp,face/nayuta.webp,nayuta.webp,True
5102,스노우 화이트 : 이노센트 데이즈,snow-white-innocent-days,SSR,3,3,40.0,철갑,화력형,필그림,AR,,,snow-white-innocent-days.webp,face/snow-white-innocent-days.webp,snow-white-innocent-days.webp,True
5105,홍련 : 흑영,scarlet-black-shadow,SSR,3,3,40.0,풍압,화력형,필그림,RL,,,scarlet-black-shadow.webp,face/scarlet-black-shadow.webp,scarlet-black-shadow.webp,True
5123,라푼젤 : 퓨어 그레이스,rapunzel-pure-grace,SSR,1,1,20.0,철갑,방어형,필그림,SR,,,rapunzel-pure-grace.webp,face/rapunzel-pure-grace.webp,rapunzel-pure-grace.webp,True
5042,하란,harran,SSR,3,3,40.0,전격,화력형,필그림,SR,,,harran.webp,face/harran.webp,harran.webp,True
5013,이사벨,isabel,SSR,3,3,40.0,전격,화력형,필그림,SG,,,isabel.webp,face/isabel.webp,isabel.webp,True
5043,노아,noah,SSR,2,2,40.0,풍압,방어형,필그림,RL,unsupported,순수 탱커 — 딜 수치를 믿지 말 것,noah.webp,face/noah.webp,noah.webp,True
5061,도로시,dorothy,SSR,1,1,20.0,수냉,지원형,필그림,AR,unsupported,핵심(낙인 누적-분배) 미지원 — 딜 수치를 믿지 말 것,dorothy.webp,face/dorothy.webp,dorothy.webp,True
5145,도로시 : 세렌디피티,dorothy-serendipity,SSR,3,3,40.0,수냉,화력형,필그림,SG,,,dorothy-serendipity.webp,face/dorothy-serendipity.webp,dorothy-serendipity.webp,True
3004,루마니,rumani,SSR,1,1,20.0,작열,방어형,테트라,RL,,,rumani.webp,face/rumani.webp,rumani.webp,True
5038,에피넬,epinel,SSR,3,3,40.0,풍압,화력형,미실리스,SMG,,,epinel.webp,face/epinel.webp,epinel.webp,True
5039,폴크방,folkwang,SSR,2,2,40.0,수냉,방어형,테트라,AR,unsupported,보호막·힐 — 딜 수치를 믿지 말 것,folkwang.webp,face/folkwang.webp,folkwang.webp,True
5044,모더니아,modernia,SSR,3,3,40.0,작열,화력형,필그림,MG,,,modernia.webp,face/modernia.webp,modernia.webp,True
5056,니힐리스타,nihilister,SSR,2,2,20.0,작열,화력형,필그림,SR,,,nihilister.webp,face/nihilister.webp,nihilister.webp,True
5156,리버렐리오,liberalio,SSR,3,3,40.0,풍압,화력형,필그림,SR,verifying,차지 속도(OL 장비·큐브)가 적용되지 않던 버그 수정(2026-08-30).,liberalio.webp,face/liberalio.webp,liberalio.webp,True
