character_code,character_name,costume_code,costume_name,image,face_image,full_image
3001,라피,10005,클래식 바캉스,costume/mi/rapi-02.webp,face/rapi-02.webp,costume/full/rapi-02.webp
3001,라피,20001,화이트 프로미스,costume/mi/rapi-01.webp,face/rapi-01.webp,costume/full/rapi-01.webp
3002,네온,30001,블링 불렛,costume/mi/neon-01.webp,face/neon-01.webp,costume/full/neon-01.webp
5129,라피 : 레드 후드,10014,레드 플레이버,costume/mi/rapi-red-hood-01.webp,face/rapi-red-hood-01.webp,costume/full/rapi-red-hood-01.webp
5129,라피 : 레드 후드,30050,체리시드 레드,costume/mi/rapi-red-hood-02.webp,face/rapi-red-hood-02.webp,costume/full/rapi-red-hood-02.webp
5129,라피 : 레드 후드,130005,샤인 라이트,costume/mi/rapi-red-hood-03.webp,face/rapi-red-hood-03.webp,costume/full/rapi-red-hood-03.webp
5169,아니스 : 스타,30064,T.T. STAR,costume/mi/anis-star-02.webp,face/anis-star-02.webp,costume/full/anis-star-02.webp
5169,아니스 : 스타,120004,스타라이트,costume/mi/anis-star-01.webp,face/anis-star-01.webp,costume/full/anis-star-01.webp
5015,시그널,60001,드라마틱 초코,costume/mi/signal-01.webp,face/signal-01.webp,costume/full/signal-01.webp
5016,폴리,30002,스위트 홀릭,costume/mi/poli-01.webp,face/poli-01.webp,costume/full/poli-01.webp
5016,폴리,30025,치얼 업 폴리스,costume/mi/poli-02.webp,face/poli-02.webp,costume/full/poli-02.webp
5017,미란다,30031,씨프 오브 저스티스,costume/mi/miranda-01.webp,face/miranda-01.webp,costume/full/miranda-01.webp
5141,K,100002,언더 커버,costume/mi/k-01.webp,face/k-01.webp,costume/full/k-01.webp
5110,D : 킬러 와이프,50013,시크릿 파티 클리너,costume/mi/d-killer-wife-01.webp,face/d-killer-wife-01.webp,costume/full/d-killer-wife-01.webp
5110,D : 킬러 와이프,100003,시크릿 폴리스,costume/mi/d-killer-wife-02.webp,face/d-killer-wife-02.webp,costume/full/d-killer-wife-02.webp
5018,브리드,30003,클래식 워커,costume/mi/brid-01.webp,face/brid-01.webp,costume/full/brid-01.webp
5018,브리드,30019,블랙 문,costume/mi/brid-02.webp,face/brid-02.webp,costume/full/brid-02.webp
5020,디젤,30005,스트로베리 플라워,costume/mi/diesel-01.webp,face/diesel-01.webp,costume/full/diesel-01.webp
5020,디젤,30006,블랙 홀리데이,costume/mi/diesel-02.webp,face/diesel-02.webp,costume/full/diesel-02.webp
5020,디젤,50011,미드나잇 스트로베리,costume/mi/diesel-04.webp,face/diesel-04.webp,costume/full/diesel-04.webp
5021,센티,10012,오션 리페어,costume/mi/centi-02.webp,face/centi-02.webp,costume/full/centi-02.webp
5021,센티,30012,마이티 홀리데이,costume/mi/centi-01.webp,face/centi-01.webp,costume/full/centi-01.webp
5011,리타,10001,피쉬 가드,costume/mi/liter-01.webp,face/liter-01.webp,costume/full/liter-01.webp
5011,리타,50008,큐트 선플라워,costume/mi/liter-02.webp,face/liter-02.webp,costume/full/liter-02.webp
5005,엠마,30016,오피스 테라피,costume/mi/emma-02.webp,face/emma-02.webp,costume/full/emma-02.webp
5005,엠마,40001,달링 레드,costume/mi/emma-01.webp,face/emma-01.webp,costume/full/emma-01.webp
5022,베스티,130002,아크 메이지,costume/mi/vesti-01.webp,face/vesti-01.webp,costume/full/vesti-01.webp
5147,엠마 : 택티컬 업,50018,시크릿 테라피,costume/mi/emma-tactical-upgrade-01.webp,face/emma-tactical-upgrade-01.webp,costume/full/emma-tactical-upgrade-01.webp
