character_code,character_name,skill_no,skill_name,level,values,description,icon
3001,라피,1,포메이션 F.F,1,"[""10.9""]","■ 20회 피격 시 자신에게
[공격력 10.9% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,2,"[""12.12""]","■ 20회 피격 시 자신에게
[공격력 12.12% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,3,"[""13.33""]","■ 20회 피격 시 자신에게
[공격력 13.33% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,4,"[""14.54""]","■ 20회 피격 시 자신에게
[공격력 14.54% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,5,"[""15.75""]","■ 20회 피격 시 자신에게
[공격력 15.75% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,6,"[""16.96""]","■ 20회 피격 시 자신에게
[공격력 16.96% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,7,"[""18.18""]","■ 20회 피격 시 자신에게
[공격력 18.18% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,8,"[""19.39""]","■ 20회 피격 시 자신에게
[공격력 19.39% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,9,"[""20.6""]","■ 20회 피격 시 자신에게
[공격력 20.6% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,1,포메이션 F.F,10,"[""21.81""]","■ 20회 피격 시 자신에게
[공격력 21.81% ▲] [20초 유지]",icn_skill_atkup_01.webp
3001,라피,2,미사일,1,"[""308.57""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 308.57% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,2,"[""333.06""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 333.06% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,3,"[""357.55""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 357.55% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,4,"[""382.04""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 382.04% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,5,"[""406.53""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 406.53% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,6,"[""431.02""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 431.02% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,7,"[""455.51""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 455.51% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,8,"[""480""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 480% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,9,"[""504.48""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 504.48% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,2,미사일,10,"[""528.97""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 528.97% 대미지]
[도발] [5초 유지]",icn_skill_attention_01.webp
3001,라피,3,다탄두 미사일,1,"[""328.86"", ""30.37""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 328.86% 버스트 스킬 대미지]
■ 자신에게
[공격력 30.37% ▲] [10초 유지]",icn_skill_c010_ult.webp
3001,라피,3,다탄두 미사일,2,"[""365.4"", ""33.75""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 365.4% 버스트 스킬 대미지]
■ 자신에게
[공격력 33.75% ▲] [10초 유지]",icn_skill_c010_ult.webp
3001,라피,3,다탄두 미사일,3,"[""401.94"", ""37.12""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 401.94% 버스트 스킬 대미지]
■ 자신에게
[공격력 37.12% ▲] [10초 유지]",icn_skill_c010_ult.webp
3001,라피,3,다탄두 미사일,4,"[""438.48"", ""40.5""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 438.48% 버스트 스킬 대미지]
■ 자신에게
[공격력 40.5% ▲] [10초 유지]",icn_skill_c010_ult.webp
3001,라피,3,다탄두 미사일,5,"[""475.02"", ""43.87""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 475.02% 버스트 스킬 대미지]
■ 자신에게
[공격력 43.87% ▲] [10초 유지]",icn_skill_c010_ult.webp
3001,라피,3,다탄두 미사일,6,"[""511.56"", ""47.25""]","■ 최종 공격력이 가장 높은 적 1기에게
[최종 공격력 511.56% 버스트 스킬 대미지]
■ 자신에게
[공격력 47.25% ▲] [10초 유지]",icn_skill_c010_ult.webp
